,Rust,Clojure,C++,Java,Python,S,APL,C,JavaScript,PHP,Ruby,TypeScript,UNITY,Lisp,VBA,ABAP,Perl,make,SiMPLE,T,Clean,Haskell,Max
neg,0.0,0.0,0.062,0.0,0.0,0.039,0.1,0.0,0.051,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.1,0.1,0.149,0.126,0.126
neu,0.811,0.682,0.753,0.847,0.847,0.738,0.622,0.881,0.788,0.82,0.853,0.853,0.853,0.826,0.8,0.875,0.802,0.759,0.9,0.9,0.797,0.816,0.816
pos,0.189,0.318,0.185,0.153,0.153,0.223,0.278,0.119,0.16,0.092,0.147,0.147,0.147,0.174,0.2,0.125,0.117,0.161,0.0,0.0,0.054,0.059,0.059
compound,0.8519,0.9721,0.9246,0.9155,0.9155,0.9548,0.6486,0.7979,0.9373,-0.1714,0.6739,0.6739,0.6739,0.5204,0.4588,0.6124,0.4201,0.7462,-0.3716,-0.3716,-0.7357,-0.4767,-0.4767
